Commit Hash	Severity	Type	Filename	Line Number	Error Message
ea91a1d45d19469001a4955583187b0d75915759	WARNING	COMMIT_LOG_LONG_LINE	COMMIT_MESSAGE	28	Possible unwrapped commit description (prefer a maximum 75 chars per line)
0e1aa5b62160500bb2ed3150367fba83c0a194e5	WARNING	COMMIT_LOG_LONG_LINE	COMMIT_MESSAGE	24	Possible unwrapped commit description (prefer a maximum 75 chars per line)
75d75b7a4d5489cc6a5e91ace306f6c13f376f33	WARNING	COMMIT_LOG_LONG_LINE	COMMIT_MESSAGE	11	Possible unwrapped commit description (prefer a maximum 75 chars per line)
75d75b7a4d5489cc6a5e91ace306f6c13f376f33	WARNING	EXPORT_SYMBOL	kernel/kcsan/core.c	810	EXPORT_SYMBOL(foo); should immediately follow its function/variable
75d75b7a4d5489cc6a5e91ace306f6c13f376f33	WARNING	EXPORT_SYMBOL	kernel/kcsan/core.c	813	EXPORT_SYMBOL(foo); should immediately follow its function/variable
75d75b7a4d5489cc6a5e91ace306f6c13f376f33	WARNING	EXPORT_SYMBOL	kernel/kcsan/core.c	824	EXPORT_SYMBOL(foo); should immediately follow its function/variable
d31d4d6bb256c3e784709e4aaf075de87c3390fc	WARNING	COMMIT_LOG_LONG_LINE	COMMIT_MESSAGE	15	Possible unwrapped commit description (prefer a maximum 75 chars per line)
e3b779d9ebe82b4be0121f25f27632844bb86d96	ERROR	COMPLEX_MACRO	include/linux/compiler.h	334	Macros with complex values should be enclosed in parentheses
eb73876c74313231c35cee6310f8ad62c56fa2b3	ERROR	COMPLEX_MACRO	include/linux/compiler_types.h	181	Macros with complex values should be enclosed in parentheses
eb73876c74313231c35cee6310f8ad62c56fa2b3	ERROR	COMPLEX_MACRO	include/linux/compiler_types.h	193	Macros with complex values should be enclosed in parentheses
4e018b450ad34b0edc865e91ec5e957d677e2c4e	WARNING	NO_AUTHOR_SIGN_OFF	mm/memory-failure.c	434	Missing Signed-off-by: line by nominal patch author 'Naoya Horiguchi <nao.horiguchi@gmail.com>'
03151c6e0b66c63c3e9980edf78c3a7a99801764	WARNING	NO_AUTHOR_SIGN_OFF	mm/memory-failure.c	442	Missing Signed-off-by: line by nominal patch author 'Naoya Horiguchi <nao.horiguchi@gmail.com>'
fce1affe4e39b9ca8346bdbb5171e60ac303c355	ERROR	GIT_COMMIT_ID	COMMIT_MESSAGE	1	Please use git commit description style 'commit <12+ chars of sha1> ("<title line>")' - ie: 'commit c488aeadcbd0 ("tcp: add tcp_sock_set_user_timeout")'
fce1affe4e39b9ca8346bdbb5171e60ac303c355	WARNING	COMMIT_LOG_LONG_LINE	COMMIT_MESSAGE	5	Possible unwrapped commit description (prefer a maximum 75 chars per line)
